month,obs,fore,factor
1,0.6803908918406073,1.3375521821631877,0.5086836243952958
2,0.9274083333333334,1.4649375,0.6330702390602557
3,1.7278140417457306,2.350664136622391,0.7350322893122377
4,2.4783960784313726,2.8565294117647055,0.8676249116231819
5,2.941740037950664,3.297874762808349,0.892010840170773
6,4.995674509803921,5.605274509803921,0.8912452906750994
7,10.020869070208727,7.207381404174573,1.3903619786798795
8,9.23449715370019,6.400645161290322,1.4427447422876014
9,5.328531372549019,4.625607843137255,1.1519634939340244
10,1.678415559772296,1.8204743833017079,0.9219660409218358
11,1.237849019607843,1.524529411764706,0.8119548301629561
12,0.5157343453510437,1.3226185958254268,0.389934291698947
