time,month,CRPS_4
2011_1,1,75.51097600000006
2011_2,2,109.89155200000008
2011_3,3,327.2378560000001
2011_4,4,593.3158399999998
2011_5,5,548.6752640000001
2011_6,6,453.4911039999998
2011_7,7,329.7929439999999
2011_8,8,23.645392000000086
2011_9,9,33.686496000000076
2011_10,10,12.366591999999983
2011_11,11,40.94299199999996
2011_12,12,16.630288000000014
2012_1,1,14.197103999999957
2012_2,2,12.997279999999982
2012_3,3,22.541376000000007
2012_4,4,48.01587199999976
2012_5,5,107.3531999999998
2012_6,6,76.68879999999973
2012_7,7,71.3424159999999
2012_8,8,30.287152000000006
2012_9,9,46.54024000000005
2012_10,10,44.78137600000003
2012_11,11,37.102000000000004
2012_12,12,29.30543999999995
2013_1,1,9.126656000000004
2013_2,2,14.465248000000049
2013_3,3,24.326335999999984
2013_4,4,113.60966399999984
2013_5,5,65.43657600000016
2013_6,6,57.191968
2013_7,7,63.955807999999806
2013_8,8,91.14654400000003
2013_9,9,28.37867200000003
2013_10,10,29.450000000000024
2013_11,11,9.491744000000018
2013_12,12,19.19524799999997
2014_1,1,59.45044799999995
2014_2,2,73.13948800000001
2014_3,3,99.1004319999999
2014_4,4,208.43107199999997
2014_5,5,141.13582399999996
2014_6,6,188.76209599999999
2014_7,7,88.60374400000015
2014_8,8,51.515423999999825
2014_9,9,36.65664000000005
2014_10,10,47.2156
2014_11,11,15.172335999999977
2014_12,12,34.60100800000002
2015_1,1,35.92430399999995
2015_2,2,81.19992000000002
2015_3,3,66.93894400000009
2015_4,4,233.42795199999986
2015_5,5,311.70947200000023
2015_6,6,437.0531199999998
2015_7,7,224.3186080000002
2015_8,8,119.81977600000009
2015_9,9,24.898592000000008
2015_10,10,29.003103999999997
2015_11,11,14.287344000000001
2015_12,12,25.33838399999996
2016_1,1,21.38508799999998
2016_2,2,15.13811200000005
2016_3,3,67.94865600000007
2016_4,4,51.697007999999755
2016_5,5,116.88364800000006
2016_6,6,157.84572799999978
2016_7,7,145.363648
2016_8,8,152.0959200000001
2016_9,9,20.267743999999986
2016_10,10,20.837824000000023
2016_11,11,13.422511999999996
2016_12,12,9.631279999999911
2017_1,1,32.78895424836596
2017_2,2,61.711695501730134
2017_3,3,78.2008688965783
2017_4,4,36.476928104575336
2017_5,5,55.60043060361386
2017_6,6,80.56203383314082
2017_7,7,99.26020761245638
2017_8,8,167.06073048827383
2017_9,9,52.739888504421415
2017_10,10,45.07103806228376
2017_11,11,18.503737024221437
2017_12,12,10.156751249519399
2018_1,1,42.00678200692039
2018_2,2,171.47536332179922
2018_3,3,54.28013840830463
2018_4,4,45.706220684352104
2018_5,5,74.53479046520565
2018_6,6,46.39866589773163
2018_7,7,86.44011534025364
2018_8,8,144.3941791618609
2018_9,9,61.36783544790467
2018_10,10,29.67472510572851
2018_11,11,8.30314109957708
2018_12,12,13.27823529411765
2019_1,1,33.40207227989235
2019_2,2,98.35278354479053
2019_3,3,72.54587850826599
2019_4,4,206.8902499038831
2019_5,5,245.94611303344863
2019_6,6,238.5118531334101
2019_7,7,85.77093425605513
2019_8,8,54.59339869281061
2019_9,9,23.06585159554014
2019_10,10,11.93458669742413
2019_11,11,71.70000000000003
2019_12,12,15.1563898500576
2020_1,1,26.921534025374932
2020_2,2,35.71426758938865
2020_3,3,66.93388312187619
2020_4,4,53.46927335640156
2020_5,5,124.30105728565934
2020_6,6,108.81405997693238
2020_7,7,170.20230680507484
2020_8,8,41.13844290657427
2020_9,9,65.44390234525184
2020_10,10,38.79274894271429
2020_11,11,39.202499038831235
2020_12,12,90.76999615532489
