time,sc_0,sc_1,sc_2,sc_3,sc_4,sc_5,sc_6,sc_7,sc_8,sc_9,sc_10,sc_11,sc_12,sc_13,sc_14,sc_15,sc_16,sc_17,sc_18,sc_19,sc_20,sc_21,sc_22,sc_23,sc_24,sc_25,sc_26,sc_27,sc_28,sc_29,sc_30,sc_31,sc_32,sc_33,sc_34,sc_35,sc_36,sc_37,sc_38,sc_39,sc_40,sc_41,sc_42,sc_43,sc_44,sc_45,sc_46,sc_47,sc_48,sc_49,sc_50,mean,obs
2011_1,28.83,38.75,15.79,24.369999999999997,33.739999999999995,19.86,13.969999999999999,43.94,20.09,31.53,21.18,42.84,45.74,33.96,40.959999999999994,30.52,11.71,50.15,20.38,31.14,28.24,45.03,13.54,36.18,33.379999999999995,,,,,,,,,,,,,,,,,,,,,,,,,,,30.21,52.129999999999995
2011_2,102.69,92.31,62.94,86.11,100.54,60.78,44.7,148.99,63.29,50.11,96.1,77.78999999999999,139.89,92.83,50.56,68.74000000000001,44.54,83.75999999999999,123.59,138.73000000000002,101.2,31.18,68.69999999999999,93.82000000000001,68.02,,,,,,,,,,,,,,,,,,,,,,,,,,,83.69,82.22999999999999
2011_3,129.26999999999998,126.02999999999999,151.35000000000002,82.47999999999999,90.22999999999999,161.98,103.05,118.55,78.08,85.4,60.96,80.42,80.58,175.92000000000002,88.43,184.4,71.4,52.8,103.66,139.70999999999998,162.54000000000002,106.38,213.34,138.41,209.6,,,,,,,,,,,,,,,,,,,,,,,,,,,119.85,201.64
2011_4,163.04000000000002,174.1,259.91,258.67,146.68,82.75,137.51999999999998,118.24,150.02999999999997,164.67000000000002,91.88,143.1,117.54,113.21000000000001,135.60999999999999,105.23,120.66,128.67000000000002,137.51999999999998,165.29,109.00999999999999,122.12,128.84,179.21,157.12,,,,,,,,,,,,,,,,,,,,,,,,,,,144.41000000000003,298.67999999999995
2011_5,225.45,253.04,265.36,270.15000000000003,305.38,182.98,196.12,211.52,269.68,391.97,280.28999999999996,129.23000000000002,252.26,125.61,183.48000000000002,288.03,259.39,110.22,155.32,231.40999999999997,173.14999999999998,247.4,437.02,412.6,287.43,,,,,,,,,,,,,,,,,,,,,,,,,,,245.78,538.58
2011_6,275.65999999999997,220.66,303.49,274.70000000000005,292.78999999999996,355.75,337.26,329.38,319.35,444.62,526.1,632.55,495.12,250.84,416.26,202.07,257.36,358.27,756.71,326.97,445.56000000000006,270.22,239.45999999999998,262.73,248.87,,,,,,,,,,,,,,,,,,,,,,,,,,,353.73,972.64
2011_7,307.56,317.04,523.65,317.34000000000003,412.87,309.0,501.13,351.03,517.11,308.14,316.65,368.68,244.84,472.2,201.68,263.43,381.44,412.51,476.20000000000005,397.71000000000004,459.43,709.26,292.16999999999996,449.95000000000005,502.86,,,,,,,,,,,,,,,,,,,,,,,,,,,392.53999999999996,829.99
2011_8,473.38,539.8399999999999,499.69,439.21000000000004,409.06,440.20000000000005,492.58,482.07000000000005,410.6,405.83000000000004,302.99,424.06,527.27,505.72,210.85,490.34000000000003,314.09999999999997,460.99,320.06,433.95000000000005,302.39,668.25,262.95,501.76000000000005,485.78000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,432.18,404.39
2011_9,403.65,249.23,294.04,247.42000000000002,312.31,175.75,187.67000000000002,85.07,245.8,250.32999999999998,227.45999999999998,463.56,114.09,217.12,253.67000000000002,245.8,319.94000000000005,160.09,165.02,505.24,188.38,181.82,286.36,323.16999999999996,138.24,,,,,,,,,,,,,,,,,,,,,,,,,,,249.64999999999998,187.75
2011_10,63.64,85.22,38.08,140.43,118.41,71.84,58.650000000000006,39.21,55.8,85.05,55.17,200.5,64.92999999999999,64.34,181.36,104.39,103.36,49.519999999999996,62.98,123.85,99.15,60.97,74.98,79.72,49.31999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,85.22,105.72999999999999
2011_11,72.68,81.66,53.459999999999994,91.37,110.03,62.59,107.52,163.1,99.09,117.27,137.78,116.91,102.2,87.49,115.5,88.53,76.74000000000001,73.69,91.35,89.55,121.2,42.269999999999996,56.42,120.44,50.86,,,,,,,,,,,,,,,,,,,,,,,,,,,93.18,74.38999999999999
2011_12,17.14,37.15,67.01,37.98,31.6,40.03,45.46,32.66,40.47,26.93,27.37,29.14,40.6,28.700000000000003,25.82,20.85,76.85,22.07,43.71,72.13,46.69,26.44,33.25,54.34,61.099999999999994,,,,,,,,,,,,,,,,,,,,,,,,,,,39.42,28.529999999999998
2012_1,27.130000000000003,25.549999999999997,49.72,62.49,85.32000000000001,33.02,27.97,72.66,48.43,67.08,20.79,28.92,40.28,70.34,47.77,50.77,64.3,34.660000000000004,30.290000000000003,54.660000000000004,20.33,32.19,36.89,36.35,44.599999999999994,,,,,,,,,,,,,,,,,,,,,,,,,,,44.54,13.080000000000002
2012_2,113.75,107.4,78.43,53.410000000000004,48.66,77.65,73.72000000000001,58.989999999999995,39.349999999999994,59.66,93.66,47.379999999999995,81.17999999999999,68.19,71.11,88.49000000000001,122.42999999999999,111.48,100.0,81.5,38.739999999999995,88.47,127.55,65.99000000000001,82.38999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,79.22,68.31
2012_3,67.32,112.13,140.29000000000002,137.71,111.91,100.23,184.92000000000002,159.22,160.57,96.72999999999999,148.29,125.04,80.89,128.89,119.26000000000002,129.98,154.51,78.52,126.87,179.93,90.22,103.25999999999999,152.39,130.7,84.4,,,,,,,,,,,,,,,,,,,,,,,,,,,124.18,178.86
2012_4,104.38,114.69,157.07,211.74,188.88,92.16,205.76999999999998,258.9,156.07999999999998,136.12,125.85000000000001,66.75999999999999,139.49,123.35,259.27,253.88,129.37,177.82,149.9,119.74,119.26,127.53999999999999,196.82,306.89000000000004,132.53,,,,,,,,,,,,,,,,,,,,,,,,,,,162.2,163.91
2012_5,285.74,132.93,88.03,218.92999999999998,214.75,276.99,234.93,230.63,103.39,150.86,189.82000000000002,148.94,99.05,192.1,220.37,219.97000000000003,355.99,83.21000000000001,148.78,96.45,139.73,308.23,231.73000000000002,88.73,300.65999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,190.47,131.17000000000002
2012_6,151.01,149.26000000000002,266.66,218.79,269.45,361.13,294.08000000000004,481.45,232.98,379.61,473.70000000000005,291.39,259.73,542.49,532.74,437.9,509.21,285.5,145.05,266.91,532.05,356.3,359.91999999999996,400.68,435.86,,,,,,,,,,,,,,,,,,,,,,,,,,,345.34000000000003,405.96000000000004
2012_7,467.56999999999994,482.33000000000004,574.12,827.84,700.71,622.8199999999999,698.16,364.97,561.46,702.05,385.07,196.73000000000002,935.9200000000001,373.24,626.9,220.44,425.59000000000003,473.78,559.55,748.74,311.03,693.13,612.54,351.49,406.49,,,,,,,,,,,,,,,,,,,,,,,,,,,532.91,650.47
2012_8,541.71,391.26,889.26,729.92,420.99,493.20000000000005,641.64,520.36,224.23,351.5,512.87,613.39,503.58000000000004,304.47,236.82999999999998,425.09,473.12,554.75,191.5,559.4200000000001,338.92,477.77,548.03,505.07000000000005,645.9000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,483.79999999999995,488.15999999999997
2012_9,150.78,296.96000000000004,60.65,112.35,141.88,279.1,146.47,194.03,166.76999999999998,132.31,301.76,319.71,142.11999999999998,280.84,158.19,124.24,124.68,242.87,314.73,181.28,141.38,149.27,375.78000000000003,149.07,210.5,,,,,,,,,,,,,,,,,,,,,,,,,,,195.9,214.91
2012_10,33.38,29.19,66.35,41.83,83.85,72.24,93.36999999999999,61.290000000000006,75.84,129.43,116.32,56.209999999999994,28.939999999999998,75.09,152.07,42.019999999999996,102.32000000000001,83.53999999999999,65.34,69.97,51.69,64.84,70.59,94.8,85.79,,,,,,,,,,,,,,,,,,,,,,,,,,,73.83,99.77000000000001
2012_11,64.53999999999999,71.7,57.51,44.89,60.76,79.28,115.02,76.0,44.349999999999994,56.17,77.24,77.83,73.13,60.72,42.42,61.230000000000004,127.17999999999999,36.67,34.94,52.010000000000005,33.5,91.35,77.65,66.13,85.4,,,,,,,,,,,,,,,,,,,,,,,,,,,66.67999999999999,97.13
2012_12,40.760000000000005,45.97,35.57,10.37,47.150000000000006,29.77,44.160000000000004,90.53,46.78,30.85,26.990000000000002,18.6,14.44,32.24,46.94,20.1,38.73,46.010000000000005,27.6,42.06,21.58,22.87,51.8,47.510000000000005,20.06,,,,,,,,,,,,,,,,,,,,,,,,,,,35.989999999999995,77.61
2013_1,52.239999999999995,58.64,49.690000000000005,60.699999999999996,34.35,55.51,27.48,63.099999999999994,67.47999999999999,61.03,38.63,49.78,37.47,46.06999999999999,33.82,80.32,42.95,65.44999999999999,55.47,50.85,39.72,17.11,37.79,59.27,39.76,,,,,,,,,,,,,,,,,,,,,,,,,,,48.980000000000004,72.27
2013_2,115.85,144.67000000000002,70.37,75.37,100.02000000000001,106.52,86.88,92.33999999999999,77.72,76.46,66.36,89.62,90.80000000000001,111.77,145.44,117.84,125.53999999999999,78.77000000000001,87.95,143.15,75.28,87.17,86.77,50.25,108.77000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,96.47999999999999,91.1
2013_3,114.74000000000001,217.88,185.93,118.16,94.31,81.06,107.99000000000001,128.54000000000002,55.330000000000005,147.59,102.24,141.68,61.86,65.61,140.16,145.84,120.05000000000001,65.84,63.41,129.2,156.26,163.76999999999998,163.32,89.53999999999999,73.28,,,,,,,,,,,,,,,,,,,,,,,,,,,117.34,119.06
2013_4,174.82,101.41,139.85999999999999,105.41999999999999,138.5,158.28000000000003,184.73,114.52,137.32,170.5,160.41,111.58,193.52,225.78,168.42000000000002,157.76,146.81,87.89,122.96000000000001,91.75999999999999,118.99000000000001,95.24000000000001,220.60000000000002,124.53999999999999,140.51,,,,,,,,,,,,,,,,,,,,,,,,,,,143.69,166.88
2013_5,154.26,110.25999999999999,107.31,302.58,130.05,432.21000000000004,304.93,128.26,342.19,291.78,257.71999999999997,205.11,457.46999999999997,222.07,164.21,230.88,62.41,251.79000000000002,99.94999999999999,364.4,223.15999999999997,107.62,292.72,327.94,265.96000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,233.46,215.36
2013_6,614.12,543.69,338.13,456.39,469.91999999999996,648.7,395.44000000000005,213.95000000000002,436.61,548.54,596.77,442.85,472.9,280.02,346.95,586.78,501.39,458.01,301.87,607.4000000000001,490.75,699.78,251.64,309.71,358.21000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,454.85,566.71
2013_7,465.91,571.61,826.01,675.34,771.3399999999999,374.23,670.4300000000001,503.69,398.07,408.78999999999996,848.4100000000001,569.8299999999999,696.06,662.38,621.08,344.66,898.78,554.8199999999999,577.03,521.8,822.72,794.71,694.84,340.28,459.25,,,,,,,,,,,,,,,,,,,,,,,,,,,602.91,561.22
2013_8,350.37,262.75,375.1,881.81,450.26,347.37,168.18,464.26,533.3,413.51,497.85,139.52,322.7,465.17,291.63,399.75,397.73,596.4100000000001,369.85,285.12,328.21000000000004,346.49,260.64,190.20999999999998,307.17999999999995,,,,,,,,,,,,,,,,,,,,,,,,,,,377.79,252.07999999999998
2013_9,136.06,135.19,67.36000000000001,156.62,138.49,265.84000000000003,115.38,155.79,58.129999999999995,74.43,222.92,203.18,107.64,92.09,225.60999999999999,125.44,128.57,220.93,127.44,100.34,116.47,110.62,209.60999999999999,52.629999999999995,217.39,,,,,,,,,,,,,,,,,,,,,,,,,,,142.56,161.31
2013_10,71.15,149.39000000000001,66.35000000000001,138.65,144.72000000000003,111.81,201.48,158.73,97.32,73.82,79.97,72.75999999999999,70.7,148.48,118.09,82.08,224.02999999999997,71.95,311.82,32.019999999999996,130.76000000000002,87.48,103.25,242.75,72.75,,,,,,,,,,,,,,,,,,,,,,,,,,,122.49000000000001,71.11
2013_11,102.44999999999999,81.45,22.52,38.61,56.49,23.96,39.33,41.56,102.02,47.510000000000005,29.89,19.29,45.95,47.800000000000004,58.22,21.7,43.99,54.06,68.08,34.95,48.66,47.88,35.68,45.94,58.620000000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,48.66,68.2
2013_12,25.05,41.36,49.08,33.99,36.07,46.47,47.370000000000005,17.549999999999997,54.33,33.629999999999995,24.259999999999998,56.58,25.61,30.229999999999997,28.76,25.419999999999998,37.53,16.53,38.04,28.87,43.35,32.45,9.16,18.17,29.53,,,,,,,,,,,,,,,,,,,,,,,,,,,33.18,32.52
2014_1,33.2,37.64,40.68,61.53,64.86,75.17999999999999,92.74,54.290000000000006,42.4,45.07,27.85,28.610000000000003,49.49,38.79,27.0,48.84,62.32,47.81,56.56,78.83,78.28999999999999,74.57,33.59,22.04,111.89,,,,,,,,,,,,,,,,,,,,,,,,,,,53.379999999999995,34.84
2014_2,42.04,80.7,70.44,90.51,143.31,113.02000000000001,94.78999999999999,102.93,141.96,152.8,87.25999999999999,54.400000000000006,92.33,119.66999999999999,41.12,95.95,73.66,104.67,76.34,173.97,124.91,60.650000000000006,64.19999999999999,75.95,55.49,,,,,,,,,,,,,,,,,,,,,,,,,,,93.28,58.7
2014_3,133.31,216.1,89.57,126.23000000000002,185.7,152.49,141.01,88.68,80.5,82.22,125.47,103.15,265.27,99.11,151.0,136.17000000000002,90.55000000000001,164.20999999999998,78.78,188.38,101.49000000000001,187.32,62.239999999999995,181.82999999999998,168.29000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,135.98,84.80000000000001
